ref,tipping_point_c_t,attribute,value
Amato_2012.csv_traj2,0.3160946304870607, change,unregulated
Amato_2012.csv_traj2,0.3160946304870607, spelling ,rubbish_garbage
Amato_2012.csv_traj4,0.4521960207219172, change,formal_institution
Amato_2012.csv_traj4,0.4521960207219172, spelling ,quando_cuando
Amato_2012.csv_traj6,0.3610871828003302, change,unregulated
Amato_2012.csv_traj6,0.3610871828003302, spelling ,se_ra
Amato_2012.csv_traj8,0.1800796812749003, change,informal_institution
Amato_2012.csv_traj8,0.1800796812749003, spelling ,centre_center
Amato_2012.csv_traj10,0.1547630402384501, change,informal_institution
Amato_2012.csv_traj10,0.1547630402384501, spelling ,behavior_behaviour
Krönke_2022_2_N.csv_traj2,0.4806068349451597,N,16. 5 
Krönke_2022_2_N.csv_traj4,0.4011027262273926,N,128
Krönke_2022_2_N.csv_traj6,0.3052723377642056,N,1024
Lacopini_2022.csv_traj2,0.3688821198483035,topology, empirical_Thiers13
Lacopini_2022.csv_traj4,0.4304829847371397,topology, empirical_Theirs13_HO
Jin_Yu_2021,0.1101,topology,SQL
Jin_Yu_2021,0.1487,topology,SQL
Jin_Yu_2021,0.1058,topology,SQL
Jin_Yu_2021,0.0559,topology,SQL
Jin_Yu_2021,0.0999,topology,SQL
Jin_Yu_2021,0.084,topology,SQL
Jin_Yu_2021,0.1074,topology,SQL
Jin_Yu_2021,0.1472,topology,SQL
Jin_Yu_2021,0.0983,topology,SQL
Jin_Yu_2021,0.1197,topology,SQL
Jin_Yu_2021,0.0597,topology,SQL
Jin_Yu_2021,0.0976,topology,SQL
Jin_Yu_2021,0.0969,topology,SQL
Jin_Yu_2021,0.0711,topology,SQL
Jin_Yu_2021,0.1682,topology,SQL
Jin_Yu_2021,0.0518,topology,SQL
Jin_Yu_2021,0.1077,topology,SQL
Jin_Yu_2021,0.0708,topology,SQL
Jin_Yu_2021,0.054,topology,SQL
Jin_Yu_2021,0.088,topology,SQL
Jin_Yu_2021,0.4271,topology,SQL
Jin_Yu_2021,0.4271,topology,SWN
Jin_Yu_2021,0.564,topology,SQL
Jin_Yu_2021,0.5387,topology,SQL
Jin_Yu_2021,0.453,topology,SQL
Jin_Yu_2021,0.4305,topology,SQL
Jin_Yu_2021,0.4388,topology,SQL
Jin_Yu_2021,0.5157,topology,SQL
Jin_Yu_2021,0.5114,topology,SQL
Jin_Yu_2021,0.5425,topology,SQL
Jin_Yu_2021,0.5063,topology,SQL
Jin_Yu_2021,0.4775,topology,SQL
Jin_Yu_2021,0.5635,topology,SQL
Jin_Yu_2021,0.4057,topology,SQL
Jin_Yu_2021,0.5126,topology,SQL
